(has gem1),(has gem2),(has gem3)
0.3350000000000002,0.3350000000000002,0.3300000000000002
0.31982479464836133,0.2944962846140382,0.38567892073760146
0.32104774088538995,0.2907544704108007,0.38819778870380967
0.3534529948158623,0.3308409083088371,0.31570609687530016
0.3543212289476219,0.33240256326192547,0.31327620779045395
0.2970140086000519,0.3575590600192904,0.345426931380658
0.2936488629432697,0.36638553297808074,0.3399656040786493
0.29203753159159035,0.379802186315147,0.3281602820932621
0.2966693846729204,0.37783337073284956,0.3254972445942308
0.3430391099260662,0.3569720150825117,0.2999888749914221
0.3383474639479658,0.3567416428480182,0.3049108932040167
0.39491558911976926,0.285985690653226,0.31909872022700464
0.3961018934487732,0.28571474311379397,0.3181833634374322
0.3051948079702415,0.33116882872740555,0.3636363633023521
0.2990018154919821,0.3311317470598972,0.36986643744812014
0.23500000000000013,0.4900000000000003,0.27500000000000013
0.22972540333925148,0.49577403458784414,0.2745005620729052
0.24866497821600114,0.45611212456997896,0.29522289721401984
0.3800000000000002,0.3650000000000002,0.2550000000000001
