(has gem1),(has gem2),(has gem3)
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.3371743704543125,0.2680357022766885,0.3947899272689992
0.2327994623319628,0.18072436539143744,0.5864761722766001
0.13356182070530126,0.06694619557306336,0.7994919837216351
0.05833333333333333,0.041666666666666664,0.8999999999999992
0.007115562261552005,0.00627013515134706,0.9866143025870997
1.827269784004467e-6,1.2629886963706927e-5,0.9999855428432509
0.0,0.0,0.9999999999999989
0.0,0.0,0.9999999999999986
0.0,0.0,0.9999999999999991
